--- TOP PROCESSES ---
Mem: 392740K used, 515736K free, 6060K shrd, 8208K buff, 48416K cached
CPU:   2% usr   0% sys   0% nic  97% idle   0% io   0% irq   0% sirq
Load average: 0.01 0.02 0.00 2/175 4890
  PID  PPID USER     STAT   VSZ %VSZ CPU %CPU COMMAND
16149 14591 root     S    28020   3%   1   0% nginx: worker process
16150 14591 root     S    27796   3%   3   0% nginx: worker process
16148 14591 root     S    27256   3%   1   0% nginx: worker process
16154 14591 root     S    26788   3%   0   0% nginx: worker process
 5425     2 root     SW<      0   0%   0   0% [scheduler_threa]
   10     2 root     IW       0   0%   1   0% [rcu_preempt]
    9     2 root     SW       0   0%   0   0% [ksoftirqd/0]
   30     2 root     IW       0   0%   0   0% [kworker/0:1-eve]
 2682     2 root     IW       0   0%   3   0% [kworker/u8:1-wm]
  144     2 root     IW<      0   0%   0   0% [kworker/0:1H-ev]
   17     2 root     IW<      0   0%   1   0% [kworker/1:0H-ev]
   27     2 root     IW<      0   0%   3   0% [kworker/3:0H-ev]
   22     2 root     IW<      0   0%   2   0% [kworker/2:0H-ev]
   15     2 root     SW       0   0%   1   0% [ksoftirqd/1]
   78     2 root     IW       0   0%   1   0% [kworker/1:1-eve]
   20     2 root     SW       0   0%   2   0% [ksoftirqd/2]
 6892     2 root     SW       0   0%   1   0% [ECM_wifi_event]
   25     2 root     SW       0   0%   3   0% [ksoftirqd/3]
  286     2 root     IW       0   0%   2   0% [kworker/2:2-rcu]
 4455     2 root     IW       0   0%   1   0% [kworker/u8:0-ec]
  135     2 root     IW       0   0%   2   0% [kworker/2:1-mm_]
  158     2 root     IW       0   0%   0   0% [kworker/0:2-eve]
 1754     2 root     IW       0   0%   3   0% [kworker/3:3-eve]
  145     2 root     SW       0   0%   0   0% [spi0]
   14     2 root     SW       0   0%   1   0% [migration/1]
   11     2 root     SW       0   0%   0   0% [migration/0]
   19     2 root     SW       0   0%   2   0% [migration/2]
   24     2 root     SW       0   0%   3   0% [migration/3]
  152     2 root     SW       0   0%   3   0% [ubi_bgt0d]
 4830 11876 root     Z        0   0%   0   0% [modem_sim_statu]
 4804     2 root     IW       0   0%   2   0% [kworker/u8:3-wm]
  604     2 root     SW       0   0%   2   0% [kworker/u8:2+WC]
  148     2 root     IW       0   0%   1   0% [kworker/1:2-rcu]
  139     2 root     SW       0   0%   0   0% [hwrng]
    2     0 root     SW       0   0%   0   0% [kthreadd]
 4721     2 root     SW       0   0%   1   0% [wlan_logging_th]
 1833     2 root     IW<      0   0%   1   0% [WCNSS_DCI]
 1834     2 root     IW<      0   0%   2   0% [WCNSS_DCI_CMD]
 1835     2 root     IW<      0   0%   1   0% [DIAG_RPMSG_DIAG]
 1836     2 root     IW<      0   0%   2   0% [DIAG_RPMSG_DIAG]
 1837     2 root     IW<      0   0%   1   0% [DIAG_RPMSG_DIAG]
 1838     2 root     IW<      0   0%   2   0% [DIAG_RPMSG_DIAG]
 1839     2 root     IW<      0   0%   1   0% [DIAG_RPMSG_DIAG]
 1840     2 root     IW<      0   0%   2   0% [DIAG_RPMSG_DIAG]
 1841     2 root     IW<      0   0%   1   0% [DIAG_RPMSG_DIAG]
 1830     2 root     IW<      0   0%   2   0% [WCNSS_CNTL]
 1843     2 root     IW<      0   0%   1   0% [DIAG_RPMSG_DIAG]
 1844     2 root     IW<      0   0%   1   0% [DIAG_RPMSG_DIAG]
 1845     2 root     IW<      0   0%   2   0% [DIAG_RPMSG_APPS]
 1846     2 root     IW<      0   0%   1   0% [DIAG_RPMSG_APPS]
 1847     2 root     IW<      0   0%   2   0% [DIAG_RPMSG_DIAG]
 1848     2 root     IW<      0   0%   1   0% [DIAG_RPMSG_DIAG]
 1849     2 root     IW<      0   0%   2   0% [DIAG_RPMSG_DIAG]
 1850     2 root     IW<      0   0%   1   0% [DIAG_RPMSG_DIAG]
 1851     2 root     IW<      0   0%   2   0% [DIAG_RPMSG_DIAG]
 1852     2 root     IW<      0   0%   1   0% [DIAG_RPMSG_DIAG]
 1853     2 root     IW<      0   0%   2   0% [DIAG_RPMSG_DIAG]
 1854     2 root     IW<      0   0%   1   0% [DIAG_RPMSG_DIAG]
 1855     2 root     IW<      0   0%   2   0% [diag_mhi_MDM]
 1856     2 root     IW<      0   0%   1   0% [DIAG_USB_diag_m]
 1857     2 root     IW<      0   0%   2   0% [diag_mhi_MDM_DC]
 1828     2 root     IW<      0   0%   2   0% [diag_cntl_wq]
 1827     2 root     IW<      0   0%   1   0% [DIAG_USB_diag]
 1829     2 root     IW<      0   0%   1   0% [diag_dci_wq]
 1831     2 root     IW<      0   0%   1   0% [WCNSS_DATA]
 1751     2 root     IW<      0   0%   1   0% [cfg80211]
 1825     2 root     IW<      0   0%   1   0% [diag_real_time_]
  980     2 root     IW<      0   0%   0   0% [kworker/0:2H]
 1166     2 root     IW<      0   0%   1   0% [bond0]
 1826     2 root     IW<      0   0%   2   0% [diag_wq]
 1832     2 root     IW<      0   0%   2   0% [WCNSS_CMD]
 1842     2 root     IW<      0   0%   2   0% [DIAG_RPMSG_DIAG]
 1858     2 root     IW<      0   0%   1   0% [diag_dci_MDM_DC]
  500     2 root     IW<      0   0%   3   0% [kworker/3:2H-kb]
  166     2 root     IW<      0   0%   3   0% [uas]
  160     2 root     SW       0   0%   2   0% [irq/115-soc:gpi]
  159     2 root     SW       0   0%   2   0% [irq/114-soc:gpi]
  161     2 root     IW<      0   0%   2   0% [ata_sff]
  151     2 root     IW<      0   0%   3   0% [dsa_ordered]
  150     2 root     IW<      0   0%   2   0% [ipv6_addrconf]
  143     2 root     IW<      0   0%   2   0% [nvme-delete-wq]
  149     2 root     SW       0   0%   0   0% [irq/94-q6v5 wdo]
  289     2 root     SW       0   0%   1   0% [ubifs_bgt0_3]
  138     2 root     SW       0   0%   0   0% [irq/93-smp2p]
  134     2 root     SW       0   0%   2   0% [kswapd0]
  137     2 root     IW<      0   0%   0   0% [kthrotld]
   76     2 root     IW<      0   0%   1   0% [kworker/u9:0]
   75     2 root     IW<      0   0%   3   0% [blkcg_punt_bio]
   77     2 root     SW       0   0%   2   0% [watchdogd]
   46     2 root     IW<      0   0%   1   0% [cryptd]
   32     2 root     IW<      0   0%   2   0% [writeback]
   31     2 root     SW       0   0%   2   0% [oom_reaper]
   33     2 root     SW       0   0%   3   0% [kcompactd0]
   74     2 root     IW<      0   0%   2   0% [kblockd]
  141     2 root     IW<      0   0%   0   0% [nvme-wq]
   28     2 root     IW<      0   0%   1   0% [netns]
   23     2 root     SW       0   0%   3   0% [cpuhp/3]
   29     2 root     SW       0   0%   2   0% [rcu_tasks_kthre]
   13     2 root     SW       0   0%   1   0% [cpuhp/1]
   18     2 root     SW       0   0%   2   0% [cpuhp/2]
    4     2 root     IW<      0   0%   0   0% [rcu_par_gp]
    3     2 root     IW<      0   0%   0   0% [rcu_gp]
    8     2 root     IW<      0   0%   0   0% [mm_percpu_wq]
   12     2 root     SW       0   0%   0   0% [cpuhp/0]
  142     2 root     IW<      0   0%   3   0% [nvme-reset-wq]
 1859     2 root     IW<      0   0%   2   0% [diag_mhi_MDM_2]
 9027     2 root     IW<      0   0%   2   0% [mld0]
 9088     2 root     IW<      0   0%   3   0% [mld1]
 6907     2 root     IW<      0   0%   0   0% [ecm_sfe_ipv6_wo]
 6894     2 root     IW<      0   0%   2   0% [ecm_sfe_ipv4_wo]
 6893     2 root     IW<      0   0%   1   0% [ecm_ppe_ipv4_wo]
 6906     2 root     IW<      0   0%   0   0% [ecm_ppe_ipv6_wo]
 7043     2 root     SW       0   0%   3   0% [qrtr_rx]
 2126     2 root     SW       0   0%   2   0% [irq/149-cst816x]
 1939     2 root     IW<      0   0%   1   0% [ppe_qdisc_stats]
 1861     2 root     IW<      0   0%   2   0% [diag_mhi_MDM_DC]
 1860     2 root     IW<      0   0%   1   0% [DIAG_USB_diag_m]
 1862     2 root     IW<      0   0%   1   0% [diag_dci_MDM_DC]
 1949     2 root     IW<      0   0%   1   0% [wq_rtm_newneigh]
25124     2 root     IW<      0   0%   1   0% [kworker/1:1H]
25125     2 root     IW<      0   0%   2   0% [kworker/2:1H]

--- STORAGE DUMP ---
0	/overlay/work/work
0	/overlay/work
0	/overlay/upper/bin
132	/overlay/upper/cfg/default
132	/overlay/upper/cfg
12	/overlay/upper/etc/oui-tertf
12	/overlay/upper/etc/oui
4	/overlay/upper/etc/ssl
4	/overlay/upper/etc/opkg
0	/overlay/upper/etc/rc.d
4	/overlay/upper/etc/sysstat
4	/overlay/upper/etc/init.d
36	/overlay/upper/etc/openvpn
16	/overlay/upper/etc/dropbear
0	/overlay/upper/etc/hotplug.d
0	/overlay/upper/etc/luci-uploads
8	/overlay/upper/etc/gl_crontabs
0	/overlay/upper/etc/gl_slot_switch_event
40	/overlay/upper/etc/nginx
420	/overlay/upper/etc/samba
8	/overlay/upper/etc/sysctl.d
220	/overlay/upper/etc/dnscrypt-proxy2
0	/overlay/upper/etc/gl_screen
0	/overlay/upper/etc/uci-defaults
432	/overlay/upper/etc/config
0	/overlay/upper/etc/lockdown
1268	/overlay/upper/etc
68	/overlay/upper/ini/internal
76	/overlay/upper/ini
12	/overlay/upper/lib/wifi
8	/overlay/upper/lib/upgrade
172	/overlay/upper/lib/firmware
192	/overlay/upper/lib
68	/overlay/upper/usr/bin
2284	/overlay/upper/usr/lib
8	/overlay/upper/usr/libexec
0	/overlay/upper/usr/uwsgi_temp
212	/overlay/upper/usr/share
2572	/overlay/upper/usr
1232	/overlay/upper/www/luci-static
4	/overlay/upper/www/cgi-bin
1240	/overlay/upper/www
4	/overlay/upper/sbin
4	/overlay/upper/root/.local
4	/overlay/upper/root/.ssh
0	/overlay/upper/root/.cloudflared
8	/overlay/upper/root/.config
4	/overlay/upper/root/.cache
20	/overlay/upper/root
0	/overlay/upper/vendor/firmware
0	/overlay/upper/vendor
5504	/overlay/upper
5504	/overlay
--- PACKAGE SIZES ---
/usr/lib/opkg/info/6rd.control:Installed-Size: 3322
/usr/lib/opkg/info/adguardhome-conntrack.control:Installed-Size: 10558842
/usr/lib/opkg/info/alsa-lib.control:Installed-Size: 430524
/usr/lib/opkg/info/alsa-ucm-conf.control:Installed-Size: 60290
/usr/lib/opkg/info/alsa-utils.control:Installed-Size: 156658
/usr/lib/opkg/info/alsa.control:Installed-Size: 1016
/usr/lib/opkg/info/athdiag.control:Installed-Size: 4473
/usr/lib/opkg/info/athtestcmd-lith.control:Installed-Size: 89665
/usr/lib/opkg/info/attr.control:Installed-Size: 15477
/usr/lib/opkg/info/avahi-dbus-daemon.control:Installed-Size: 41448
/usr/lib/opkg/info/aw-s2s.control:Installed-Size: 14535
/usr/lib/opkg/info/base-files.control:Installed-Size: 58996
/usr/lib/opkg/info/bind-dig.control:Installed-Size: 54365
/usr/lib/opkg/info/bind-libs.control:Installed-Size: 1223455
/usr/lib/opkg/info/blkid.control:Installed-Size: 52412
/usr/lib/opkg/info/breakpad-wrapper.control:Installed-Size: 59105
/usr/lib/opkg/info/breakpad.control:Installed-Size: 14091
/usr/lib/opkg/info/bridge.control:Installed-Size: 11470
/usr/lib/opkg/info/busybox.control:Installed-Size: 296735
/usr/lib/opkg/info/ca-bundle.control:Installed-Size: 123477
/usr/lib/opkg/info/ca-certificates.control:Installed-Size: 133841
/usr/lib/opkg/info/cgi-io.control:Installed-Size: 10165
/usr/lib/opkg/info/chat.control:Installed-Size: 10159
/usr/lib/opkg/info/cnssdiag.control:Installed-Size: 65490
/usr/lib/opkg/info/comgt-ncm.control:Installed-Size: 2888
/usr/lib/opkg/info/comgt.control:Installed-Size: 22454
/usr/lib/opkg/info/conntrack.control:Installed-Size: 29621
/usr/lib/opkg/info/coreutils-timeout.control:Installed-Size: 28950
/usr/lib/opkg/info/coreutils.control:Installed-Size: 96
/usr/lib/opkg/info/curl.control:Installed-Size: 71644
/usr/lib/opkg/info/dashboard.control:Installed-Size: 4240
/usr/lib/opkg/info/dbus.control:Installed-Size: 126874
/usr/lib/opkg/info/dhcpdiscover.control:Installed-Size: 8250
/usr/lib/opkg/info/dnscrypt-proxy2.control:Installed-Size: 4484717
/usr/lib/opkg/info/dnsmasq-full.control:Installed-Size: 206940
/usr/lib/opkg/info/dosfstools.control:Installed-Size: 79108
/usr/lib/opkg/info/dropbear.control:Installed-Size: 127896
/usr/lib/opkg/info/ds-lite.control:Installed-Size: 1090
/usr/lib/opkg/info/e2fsprogs.control:Installed-Size: 205674
/usr/lib/opkg/info/ethtool.control:Installed-Size: 46160
/usr/lib/opkg/info/f2fs-tools.control:Installed-Size: 5936
/usr/lib/opkg/info/f2fsck.control:Installed-Size: 96192
/usr/lib/opkg/info/fcgi.control:Installed-Size: 23911
/usr/lib/opkg/info/file.control:Installed-Size: 8359
/usr/lib/opkg/info/firewall4.control:Installed-Size: 28796
/usr/lib/opkg/info/flock.control:Installed-Size: 12274
/usr/lib/opkg/info/fstools.control:Installed-Size: 21538
/usr/lib/opkg/info/ftm.control:Installed-Size: 16003
/usr/lib/opkg/info/fwtool.control:Installed-Size: 4540
/usr/lib/opkg/info/getdns.control:Installed-Size: 196478
/usr/lib/opkg/info/getrandom.control:Installed-Size: 1806
/usr/lib/opkg/info/gl-line-graph.control:Installed-Size: 333637
/usr/lib/opkg/info/gl-oui-rpc.control:Installed-Size: 88247
/usr/lib/opkg/info/gl-sdk4-acl.control:Installed-Size: 2709
/usr/lib/opkg/info/gl-sdk4-adguardhome.control:Installed-Size: 4815
/usr/lib/opkg/info/gl-sdk4-arp-scan.control:Installed-Size: 808297
/usr/lib/opkg/info/gl-sdk4-base-files.control:Installed-Size: 29085
/usr/lib/opkg/info/gl-sdk4-cable.control:Installed-Size: 20734
/usr/lib/opkg/info/gl-sdk4-carrier-monitor.control:Installed-Size: 2879
/usr/lib/opkg/info/gl-sdk4-clients.control:Installed-Size: 16124
/usr/lib/opkg/info/gl-sdk4-cloud.control:Installed-Size: 103639
/usr/lib/opkg/info/gl-sdk4-ddns.control:Installed-Size: 32020
/usr/lib/opkg/info/gl-sdk4-dns.control:Installed-Size: 11523
/usr/lib/opkg/info/gl-sdk4-edgerouter.control:Installed-Size: 4704
/usr/lib/opkg/info/gl-sdk4-firewall.control:Installed-Size: 10485
/usr/lib/opkg/info/gl-sdk4-fullconenat.control:Installed-Size: 807
/usr/lib/opkg/info/gl-sdk4-guest.control:Installed-Size: 679
/usr/lib/opkg/info/gl-sdk4-igmp.control:Installed-Size: 2559
/usr/lib/opkg/info/gl-sdk4-ipv6.control:Installed-Size: 26795
/usr/lib/opkg/info/gl-sdk4-keepcfg.control:Installed-Size: 3821
/usr/lib/opkg/info/gl-sdk4-lan.control:Installed-Size: 15468
/usr/lib/opkg/info/gl-sdk4-local-access.control:Installed-Size: 4034
/usr/lib/opkg/info/gl-sdk4-log.control:Installed-Size: 4624
/usr/lib/opkg/info/gl-sdk4-logread.control:Installed-Size: 14591
/usr/lib/opkg/info/gl-sdk4-lua-utils.control:Installed-Size: 11081
/usr/lib/opkg/info/gl-sdk4-luci.control:Installed-Size: 593951
/usr/lib/opkg/info/gl-sdk4-modem.control:Installed-Size: 681145
/usr/lib/opkg/info/gl-sdk4-mpifd.control:Installed-Size: 7567
/usr/lib/opkg/info/gl-sdk4-nas-exfat.control:Installed-Size: 33602
/usr/lib/opkg/info/gl-sdk4-nas-utils.control:Installed-Size: 406145
/usr/lib/opkg/info/gl-sdk4-nas-web.control:Installed-Size: 54609
/usr/lib/opkg/info/gl-sdk4-netmode.control:Installed-Size: 9627
/usr/lib/opkg/info/gl-sdk4-network-diag.control:Installed-Size: 1507
/usr/lib/opkg/info/gl-sdk4-network.control:Installed-Size: 6694
/usr/lib/opkg/info/gl-sdk4-ovpn-client.control:Installed-Size: 38444
/usr/lib/opkg/info/gl-sdk4-ovpn-server.control:Installed-Size: 23250
/usr/lib/opkg/info/gl-sdk4-p2p-daemon.control:Installed-Size: 1320933
/usr/lib/opkg/info/gl-sdk4-plugins.control:Installed-Size: 13870
/usr/lib/opkg/info/gl-sdk4-portal.control:Installed-Size: 1255
/usr/lib/opkg/info/gl-sdk4-qos.control:Installed-Size: 7649
/usr/lib/opkg/info/gl-sdk4-qsdk-wifi.control:Installed-Size: 18478
/usr/lib/opkg/info/gl-sdk4-repeater-v2.control:Installed-Size: 40426
/usr/lib/opkg/info/gl-sdk4-rtty.control:Installed-Size: 2412
/usr/lib/opkg/info/gl-sdk4-s2s.control:Installed-Size: 19696
/usr/lib/opkg/info/gl-sdk4-screen.control:Installed-Size: 2601940
/usr/lib/opkg/info/gl-sdk4-sip_alg.control:Installed-Size: 950
/usr/lib/opkg/info/gl-sdk4-sms-forward.control:Installed-Size: 3519
/usr/lib/opkg/info/gl-sdk4-switch-button.control:Installed-Size: 5318
/usr/lib/opkg/info/gl-sdk4-system.control:Installed-Size: 13645
/usr/lib/opkg/info/gl-sdk4-tailscale.control:Installed-Size: 6318
/usr/lib/opkg/info/gl-sdk4-tethering.control:Installed-Size: 5789
/usr/lib/opkg/info/gl-sdk4-timer.control:Installed-Size: 8245
/usr/lib/opkg/info/gl-sdk4-tor.control:Installed-Size: 5329
/usr/lib/opkg/info/gl-sdk4-uci.control:Installed-Size: 5314
/usr/lib/opkg/info/gl-sdk4-ui-adguardhome.control:Installed-Size: 14034
/usr/lib/opkg/info/gl-sdk4-ui-advanced.control:Installed-Size: 17362
/usr/lib/opkg/info/gl-sdk4-ui-astrowarp.control:Installed-Size: 46237
/usr/lib/opkg/info/gl-sdk4-ui-bridge.control:Installed-Size: 26206
/usr/lib/opkg/info/gl-sdk4-ui-btnsettings.control:Installed-Size: 17351
/usr/lib/opkg/info/gl-sdk4-ui-clients.control:Installed-Size: 38431
/usr/lib/opkg/info/gl-sdk4-ui-cloud.control:Installed-Size: 24671
/usr/lib/opkg/info/gl-sdk4-ui-core.control:Installed-Size: 769614
/usr/lib/opkg/info/gl-sdk4-ui-display.control:Installed-Size: 333414
/usr/lib/opkg/info/gl-sdk4-ui-dnsview.control:Installed-Size: 30454
/usr/lib/opkg/info/gl-sdk4-ui-dynamicdns.control:Installed-Size: 21584
/usr/lib/opkg/info/gl-sdk4-ui-edgerouter.control:Installed-Size: 19847
/usr/lib/opkg/info/gl-sdk4-ui-firewallview.control:Installed-Size: 25120
/usr/lib/opkg/info/gl-sdk4-ui-guestip.control:Installed-Size: 17486
/usr/lib/opkg/info/gl-sdk4-ui-home.control:Installed-Size: 74137
/usr/lib/opkg/info/gl-sdk4-ui-igmp.control:Installed-Size: 9295
/usr/lib/opkg/info/gl-sdk4-ui-internet.control:Installed-Size: 286307
/usr/lib/opkg/info/gl-sdk4-ui-ipv6.control:Installed-Size: 18711
/usr/lib/opkg/info/gl-sdk4-ui-lanip.control:Installed-Size: 28360
/usr/lib/opkg/info/gl-sdk4-ui-login.control:Installed-Size: 16132
/usr/lib/opkg/info/gl-sdk4-ui-logview.control:Installed-Size: 25681
/usr/lib/opkg/info/gl-sdk4-ui-multiwan.control:Installed-Size: 29162
/usr/lib/opkg/info/gl-sdk4-ui-nasview.control:Installed-Size: 35282
/usr/lib/opkg/info/gl-sdk4-ui-netadvanced.control:Installed-Size: 9396
/usr/lib/opkg/info/gl-sdk4-ui-netnat.control:Installed-Size: 15062
/usr/lib/opkg/info/gl-sdk4-ui-netport.control:Installed-Size: 19300
/usr/lib/opkg/info/gl-sdk4-ui-overview.control:Installed-Size: 24452
/usr/lib/opkg/info/gl-sdk4-ui-ovpnclient.control:Installed-Size: 28398
/usr/lib/opkg/info/gl-sdk4-ui-ovpnserver.control:Installed-Size: 26667
/usr/lib/opkg/info/gl-sdk4-ui-parentalcontrol.control:Installed-Size: 99715
/usr/lib/opkg/info/gl-sdk4-ui-plugins.control:Installed-Size: 22309
/usr/lib/opkg/info/gl-sdk4-ui-process.control:Installed-Size: 10910
/usr/lib/opkg/info/gl-sdk4-ui-reset.control:Installed-Size: 13527
/usr/lib/opkg/info/gl-sdk4-ui-security.control:Installed-Size: 25717
/usr/lib/opkg/info/gl-sdk4-ui-sms.control:Installed-Size: 26130
/usr/lib/opkg/info/gl-sdk4-ui-tailscaleview.control:Installed-Size: 16438
/usr/lib/opkg/info/gl-sdk4-ui-timedtask.control:Installed-Size: 19766
/usr/lib/opkg/info/gl-sdk4-ui-timezone.control:Installed-Size: 13092
/usr/lib/opkg/info/gl-sdk4-ui-torview.control:Installed-Size: 36061
/usr/lib/opkg/info/gl-sdk4-ui-upgrade.control:Installed-Size: 26002
/usr/lib/opkg/info/gl-sdk4-ui-vlan.control:Installed-Size: 2989
/usr/lib/opkg/info/gl-sdk4-ui-vpndashboard.control:Installed-Size: 134633
/usr/lib/opkg/info/gl-sdk4-ui-welcome.control:Installed-Size: 28166
/usr/lib/opkg/info/gl-sdk4-ui-wgclient.control:Installed-Size: 34702
/usr/lib/opkg/info/gl-sdk4-ui-wgserver.control:Installed-Size: 26581
/usr/lib/opkg/info/gl-sdk4-ui-wireless.control:Installed-Size: 28593
/usr/lib/opkg/info/gl-sdk4-ui-zerotierview.control:Installed-Size: 18109
/usr/lib/opkg/info/gl-sdk4-upgrade.control:Installed-Size: 26161
/usr/lib/opkg/info/gl-sdk4-utils.control:Installed-Size: 36985
/usr/lib/opkg/info/gl-sdk4-vpn-client.control:Installed-Size: 54340
